,Time,linear.x
0,1622521508.8761125,0.0
1,1622521508.8867645,0.0
2,1622521508.9187744,0.0
3,1622521508.9381196,0.0
4,1622521508.9701915,0.0
5,1622521508.998233,0.0
6,1622521509.0235386,0.0
7,1622521509.0502408,0.0
8,1622521509.0662286,0.0
9,1622521509.0982206,0.0
10,1622521509.108949,0.0
11,1622521509.149376,0.0
12,1622521509.1600213,0.0
13,1622521509.1946988,0.0
14,1622521509.20539,0.0
15,1622521509.246081,0.0
16,1622521509.2567248,0.0
17,1622521509.2887304,0.0
18,1622521509.2993813,0.0
19,1622521509.3314035,0.0
20,1622521509.3447602,0.0
21,1622521509.387391,0.0
22,1622521509.40339,0.0
23,1622521509.4300544,0.0
24,1622521509.4602435,0.0
25,1622521509.5206842,0.0
26,1622521509.5687132,0.0
27,1622521509.5834262,0.0
28,1622521509.6185806,0.0
29,1622521509.6287189,0.0
30,1622521509.6607091,0.0
31,1622521509.6714346,0.0
32,1622521509.7113714,0.0
33,1622521509.722021,0.0
34,1622521509.7623832,0.0
35,1622521509.773095,0.0
36,1622521509.817443,0.0
37,1622521509.8269005,0.0
38,1622521509.8588927,0.0
39,1622521509.8694966,0.0
40,1622521509.9015384,0.0
41,1622521509.916242,0.0
42,1622521509.9529269,0.0
43,1622521509.9742684,0.0
44,1622521510.0068052,0.0
45,1622521510.0334535,0.0
46,1622521510.0494356,0.0
47,1622521510.0814493,0.0
48,1622521510.092123,0.0
49,1622521510.1240804,0.0
50,1622521510.1347475,0.0
51,1622521510.1694288,0.0
52,1622521510.1801386,0.0
53,1622521510.220629,0.0
54,1622521510.2313135,0.0
55,1622521510.2632868,0.0
56,1622521510.2823653,0.0
57,1622521510.3143778,0.0
58,1622521510.32768,0.0
59,1622521510.3623528,0.0
60,1622521510.373006,0.0
61,1622521510.413425,0.0
62,1622521510.4266727,0.0
63,1622521510.4560056,0.0
64,1622521510.4786966,0.0
65,1622521510.4986966,0.0
66,1622521510.5306866,0.0
67,1622521510.5440257,0.0
68,1622521510.5760293,0.0
69,1622521510.5965607,0.0
70,1622521510.6273153,0.0
71,1622521510.6379945,0.0
72,1622521510.678593,0.0
73,1622521510.689252,0.0
74,1622521510.7239387,0.0
75,1622521510.7345948,0.0
76,1622521510.7665968,0.0
77,1622521510.7772665,0.0
78,1622521510.8092678,0.0
79,1622521510.8212633,0.0
80,1622521510.8595495,0.0
81,1622521510.8808858,0.0
82,1622521510.9048948,0.0
83,1622521510.9387615,0.0
84,1622521510.956082,0.0
85,1622521510.996848,0.0
86,1622521511.0075185,0.0
87,1622521511.0479527,0.0
88,1622521511.0585744,0.0
89,1622521511.1019695,0.0
90,1622521511.11265,0.0
91,1622521511.1446052,0.0
92,1622521511.1552713,0.0
93,1622521511.1859534,0.0
94,1622521511.1979506,0.0
95,1622521511.2381265,0.0
96,1622521511.2514825,0.0
97,1622521511.2942488,0.0
98,1622521511.306225,0.0
99,1622521511.3368967,0.0
100,1622521511.35556,0.0
101,1622521511.379545,0.0
102,1622521511.4129846,0.0
103,1622521511.4303312,0.0
104,1622521511.4650426,0.0
105,1622521511.4756515,0.0
106,1622521511.5156288,0.0
107,1622521511.5262942,0.0
108,1622521511.5662045,0.0
109,1622521511.5855427,0.0
110,1622521511.6176016,0.0
111,1622521511.6367652,0.0
112,1622521511.6714325,0.0
113,1622521511.6819913,0.0
114,1622521511.7140498,0.0
115,1622521511.724666,0.0
116,1622521511.7651384,0.0
117,1622521511.7798758,0.0
118,1622521511.8156135,0.0
119,1622521511.839624,0.0
120,1622521511.869015,0.0
121,1622521511.9088075,0.0
122,1622521511.9194288,0.0
123,1622521511.9594038,0.0
124,1622521511.9701552,0.0
125,1622521512.0021956,0.0
126,1622521512.0129,0.0
127,1622521512.0474072,0.0
128,1622521512.0580692,0.0
129,1622521512.0902312,0.0
130,1622521512.1008778,0.0
131,1622521512.1327822,0.0
132,1622521512.143464,0.0
133,1622521512.1755214,0.0
134,1622521512.1927536,0.0
135,1622521512.2234194,0.0
136,1622521512.2434373,0.0
137,1622521512.2660882,0.0
138,1622521512.2928052,0.0
139,1622521512.3087726,0.0
140,1622521512.3407564,0.0
141,1622521512.351433,0.0
142,1622521512.3860984,0.0
143,1622521512.3967786,0.0
144,1622521512.428765,0.0
145,1622521512.439438,0.0
146,1622521512.4714115,0.0
147,1622521512.482143,0.0
148,1622521512.5141108,0.0
149,1622521512.5247474,0.0
150,1622521512.5594318,0.0
151,1622521512.5700345,0.0
152,1622521512.60208,0.0
153,1622521512.6180599,0.0
154,1622521512.6447446,0.0
155,1622521512.6673925,0.0
156,1622521512.6873975,0.0
157,1622521512.7207367,0.0
